"user_id","vis_type","model_type","color_ramp_index","target_value","selected_value","aesthetic_rating","trial_number"
"6","scatter","linear","24","4","5","0","20"
"6","scatter","engagement","0","8","8","0","21"
"6","choropleth","kmeans","13","4","4","21","22"
"6","choropleth","linear","20","4","5","0","23"
"6","heatmap","designer","14","1","0","0","24"
"6","heatmap","bayesian","5","2","2","0","25"
"6","heatmap","designer","7","3","5","0","26"
"6","scatter","kmeans","25","4","4","31","27"
"6","heatmap","linear","8","1","0","0","28"
"6","heatmap","linear","9","7","6","-70","29"
"6","scatter","kmeans","23","3","4","70","30"
"6","choropleth","linear","14","4","5","0","31"
"6","choropleth","designer","25","1","1","69","32"
"6","heatmap","designer","20","1","2","69","33"
"6","scatter","linear","21","2","2","0","34"
"6","choropleth","kmeans","17","3","4","80","35"
"6","scatter","designer","24","3","3","0","36"
"6","choropleth","designer","22","2","1","0","37"
"6","heatmap","kmeans","18","8","8","0","38"
"7","heatmap","bayesian","0","6","5","-42","0"
"7","choropleth","kmeans","24","5","5","-42","1"
"7","scatter","kmeans","18","7","6","-26","2"
"7","scatter","linear","6","7","4","-87","3"
"7","scatter","designer","20","8","8","35","4"
"7","scatter","bayesian","26","2","3","-43","5"
"7","scatter","linear","1","8","8","-43","6"
"7","choropleth","linear","19","7","7","-33","7"
"7","heatmap","designer","24","6","6","-85","8"
"7","heatmap","designer","11","2","2","-65","9"
"7","scatter","designer","23","3","4","-37","10"
"7","scatter","designer","15","8","8","-15","11"
"7","choropleth","bayesian","13","6","7","-44","12"
"7","heatmap","linear","5","2","2","-24","13"
"7","choropleth","designer","13","7","6","41","14"
"7","heatmap","kmeans","9","7","8","11","15"
"7","choropleth","engagement","0","8","8","-18","16"
"7","heatmap","linear","14","0","2","-82","17"
"7","choropleth","designer","4","8","8","9","18"
"7","scatter","bayesian","19","2","3","9","19"
"7","heatmap","kmeans","17","8","8","9","20"
"7","heatmap","bayesian","1","8","8","-19","21"
"7","heatmap","bayesian","25","8","8","24","22"
"7","scatter","kmeans","14","4","3","10","23"
"7","choropleth","bayesian","8","7","8","13","24"
