InstutionName	City	Tuition	InstitutionType
Arkansas State University-Main Campus	Jonesboro	11752	Public
Arkansas Tech University	Russellville	10205	Public
University of Arkansas at Monticello	Monticello	10141	Public
Arthur's Beauty College Inc-Jacksonville	Jacksonville	9645	Private
Baptist Health College-Little Rock	Little Rock	20447	Private
Black River Technical College	Pocahontas	6239	Public
University of Central Arkansas	Conway	11087	Public
Central Baptist College	Conway	12237	Private
Cossatot Community College of the University of Arkansas	De Queen	5989	Public
Crowley's Ridge College	Paragould	12476	Private
Crowley's Ridge Technical Institute	Forrest City	2373	Public
East Arkansas Community College	Forrest City	3547	Public
Eastern College of Health Vocations-Little Rock	Little Rock	12323	Private
Imagine-Paul Mitchell Partner School	North Little Rock	17281	Private
National Park Community College	Hot Springs	8575	Public
University of Arkansas Community College-Batesville	Batesville	1778	Public
Harding University	Searcy	24580	Private
Henderson State University	Arkadelphia	9716	Public
Hendrix College	Conway	23563	Private
Hot Springs Beauty College	Hot Springs	11398	Private
Jefferson Regional Medical Center School of Nursing	Pine Bluff		Private
John Brown University	Siloam Springs	19034	Private
Lees School of Cosmetology	North  Little Rock	13463	Private
Career Academy of Hair Design	Springdale	14054	Private
Academy of Salon and Spa	Fort Smith	13414	Private
Arkansas State University Mid-South	West Memphis	11141	Public
Arkansas Northeastern College	Blytheville	8092	Public
Margaret's Hair Academy Inc	Monticello	12430	Private
New Tyler Barber College Inc	North Little Rock	14139	Private
North Arkansas College	Harrison	3785	Public
Northwest Technical Institute	Springdale	6339	Public
Ouachita Baptist University	Arkadelphia	18488	Private
College of the Ouachitas	Malvern	8454	Public
Ozarka College	Melbourne	6400	Public
University of the Ozarks	Clarksville	15008	Private
University of Arkansas Community College-Morrilton	Morrilton	5566	Public
Philander Smith College	Little Rock	13489	Private
Phillips Community College of the University of Arkansas	Helena	4177	Public
Southeast Arkansas College	Pine Bluff	3773	Public
Professional Cosmetology Education Center	El Dorado	7325	Private
Pulaski Technical College	North Little Rock	9647	Public
University of Arkansas Community College-Hope	Hope	9109	Public
Rich Mountain Community College	Mena	5714	Public
Paul Mitchell the School-Arkansas	Fayetteville	25075	Private
Searcy Beauty College	Searcy	19433	Private
Shorter College	N Little Rock	12253	Private
Williams Baptist College	Walnut Ridge	13239	Private
South Arkansas Community College	El Dorado	10666	Public
Southern Arkansas University Main Campus	Magnolia	10150	Public
Southern Arkansas University Tech	Camden	8112	Public
Velvatex College of Beauty Culture	Little Rock	2608	Private
University of Arkansas-Fort Smith	Fort Smith	7536	Public
Academy of Art University	San Francisco	31610	Private
ITT Technical Institute-Rancho Cordova	Rancho Cordova	23144	Private
Academy of Chinese Culture and Health Sciences	Oakland		Private
The Academy of Radio and TV Broadcasting	Huntington Beach	22072	Private
Avalon School of Cosmetology-Alameda	Alameda	10569	Private
College of Alameda	Alameda	4783	Public
Allan Hancock College	Santa Maria	5038	Public
American Academy of Dramatic Arts-Los Angeles	Los Angeles	39572	Private
American Baptist Seminary of the West	Berkeley		Private
American Film Institute Conservatory	Los Angeles		Private
American Beauty College	West Covina	12476	Private
American Career College-Los Angeles	Los Angeles	18560	Private
