InstutionName	City	Tuition	InstitutionType
Northshore Technical Community College	Bogalusa	7773	Public
Tulane University of Louisiana	New Orleans	34740	Private
Xavier University of Louisiana	New Orleans	20728	Private
South Central Louisiana Technical College	Morgan City	5418	Public
Kaplan University-Maine Campus	S Portland	15971	Private
College of the Atlantic	Bar Harbor	17463	Private
Bates College	Lewiston	24944	Private
Beal College	Bangor	12077	Private
Bowdoin College	Brunswick	19336	Private
Maine College of Health Professions	Lewiston	14339	Private
Central Maine Community College	Auburn	8966	Public
Colby College	Waterville	23566	Private
Eastern Maine Community College	Bangor	9562	Public
Husson University	Bangor	16414	Private
Kennebec Valley Community College	Fairfield	8805	Public
The Landing School	Arundel	31674	Private
University of Maine at Augusta	Augusta	10864	Public
University of Maine at Farmington	Farmington	15162	Public
University of Maine at Fort Kent	Fort Kent	13349	Public
University of Maine at Machias	Machias	9623	Public
University of Maine	Orono	16731	Public
Maine Maritime Academy	Castine	20861	Public
University of Maine at Presque Isle	Presque Isle	10247	Public
University of New England	Biddeford	31378	Private
Northern Maine Community College	Presque Isle	10680	Public
Empire Beauty School-Maine	Portland	13059	Private
Maine College of Art	Portland	28640	Private
Saint Joseph's College of Maine	Standish	25267	Private
Spa Tech Institute-Westbrook	Westbrook	11614	Private
Southern Maine Community College	South Portland	11232	Public
University of Southern Maine	Portland	17048	Public
Thomas College	Waterville	20045	Private
Unity College	Unity	21556	Private
Washington County Community College	Calais	6015	Public
Aaron's Academy of Beauty	Waldorf	11809	Private
Aesthetics Institute of Cosmetology	Gaithersburg	9013	Private
Allegany College of Maryland	Cumberland	9211	Public
Anne Arundel Community College	Arnold	14358	Public
Brightwood College-Towson	Towson	21418	Private
Award Beauty School	Hagerstown	14280	Private
Baltimore Studio of Hair Design	Baltimore	10811	Private
Baltimore City Community College	Baltimore	6004	Public
University of Baltimore	Baltimore	14180	Public
Bowie State University	Bowie	13231	Public
Capitol Technology University	Laurel	20045	Private
Cecil College	North East	6849	Public
College of Southern Maryland	La Plata	8266	Public
Chesapeake College	Wye Mills	6720	Public
Washington Adventist University	Takoma Park	17040	Private
Coppin State University	Baltimore	9363	Public
Delmarva Beauty Academy	Salisbury	22610	Private
North American Trade Schools	Baltimore	17692	Private
Frederick Community College	Frederick	5683	Public
Frostburg State University	Frostburg	17755	Public
Garrett College	McHenry	6592	Public
Goucher College	Baltimore	27682	Private
Kaplan University-Hagerstown Campus	Hagerstown	23803	Private
Hagerstown Community College	Hagerstown	7724	Public
Harford Community College	Bel Air	2592	Public
Hood College	Frederick	23343	Private
Howard Community College	Columbia	7789	Public
The Colorlab Academy of Hair	Bel Air	14511	Private
Johns Hopkins University	Baltimore	29911	Private
L'Academie de Cuisine	Gaithersburg	22319	Private
Lincoln College of Technology-Columbia	Columbia	24370	Private
Loyola University Maryland	Baltimore	32584	Private
Maryland Beauty Academy	Reisterstown	11490	Private
University of Maryland-University College	Adelphi	10558	Public
University of Maryland  Baltimore	Baltimore		Private
University of Maryland-Baltimore County	Baltimore	17657	Public
University of Maryland-College Park	College Park	15817	Public
Maryland Institute College of Art	Baltimore	37747	Private
University of Maryland Eastern Shore	Princess Anne	14249	Public
Fortis Institute-Towson	Towson	17215	Private
Montgomery Beauty School	Silver Spring	13169	Private
Montgomery College	Rockville	8381	Public
Morgan State University	Baltimore	15926	Public
Mount St Mary's University	Emmitsburg	28771	Private
Ner Israel Rabbinical College	Baltimore	6101	Private
Hair Academy Inc-New Carrollton	New Carrollton	14767	Private
Notre Dame of Maryland University	Baltimore	15831	Private
Prince George's Community College	Largo	6168	Public
Brightwood College-Baltimore	Baltimore	21440	Private
Robert Paul Academy of Cosmetology Arts & Sciences	Timonium	18068	Private
Maryland Beauty Academy of Essex	Baltimore	12642	Private
Salisbury University	Salisbury	16641	Public
St Mary's College of Maryland	St. Mary's City	16881	Public
Sojourner-Douglass College	Baltimore	21103	Private
St John's College	Annapolis	29456	Private
Brightwood College-Beltsville	Beltsville	21771	Private
Towson University	Towson	16363	Public
Maryland University of Integrative Health	Laurel		Private
International Beauty School	Cumberland	17220	Private
Stevenson University	Stevenson	25956	Private
Washington College	Chestertown	30079	Private
McDaniel College	Westminster	19802	Private
Wor-Wic Community College	Salisbury	9889	Public
Hult International Business School	Cambridge		Private
New England College of Business and Finance	Boston	12945	Private
American International College	Springfield	19559	Private
Amherst College	Amherst	17801	Private
Andover Newton Theological School	Newton Centre		Private
Anna Maria College	Paxton	27265	Private
Assabet Valley Regional Technical School	Marlborough	17122	Public
Assumption College	Worcester	26350	Private
Babson College	Wellesley	30636	Private
Bancroft School of Massage Therapy	Worcester		Private
Boston Baptist College	Boston	23286	Private
Bay Path University	Longmeadow	18951	Private
Bay State College	Boston	26898	Private
Bay State School of Technology	Canton	35849	Private
Becker College	Worcester	29940	Private
Bentley University	Waltham	31616	Private
Berklee College of Music	Boston	46351	Private
Berkshire Community College	Pittsfield	8877	Public
Empire Beauty School-Boston	Boston	14301	Private
Boston Architectural College	Boston	36691	Private
Boston Graduate School of Psychoanalysis Inc	Brookline		Private
Boston College	Chestnut Hill	33464	Private
The Boston Conservatory	Boston	43077	Private
Boston University	Boston	34592	Private
Brandeis University	Waltham	28004	Private
Bridgewater State University	Bridgewater	17781	Public
Bristol Community College	Fall River	7330	Public
Signature Healthcare Brockton Hospital School of Nursing	Brockton	13581	Private
Bunker Hill Community College	Boston	7240	Public
Cambridge College	Cambridge	22101	Private
Cape Cod Community College	West Barnstable	8740	Public
Catherine Hinds Institute of Esthetics	Woburn	15740	Private
Laboure College	Milton	29243	Private
Clark University	Worcester	22065	Private
Conway School of Landscape Design	Conway		Private
Curry College	Milton	30309	Private
Lincoln Technical Institute-Somerville	Somerville	14994	Private
Dean College	Franklin	25062	Private
Diman Regional Technical Institute	Fall River	15049	Public
National Aviation Academy of New England	Bedford	21753	Private
Eastern Nazarene College	Quincy	14966	Private
Emerson College	Boston	37313	Private
Emmanuel College	Boston	31767	Private
Endicott College	Beverly	32895	Private
Episcopal Divinity School	Cambridge		Private
Rob Roy Academy-Fall River	Fall River	13879	Private
Fisher College	Boston	26698	Private
Fitchburg State University	Fitchburg	13737	Public
Framingham State University	Framingham	17801	Public
Benjamin Franklin Institute of Technology	Boston	16188	Private
Gordon College	Wenham	27869	Private
Gordon-Conwell Theological Seminary	South Hamilton		Private
Greenfield Community College	Greenfield	11031	Public
Hallmark Institute of Photography	Turners Falls	74673	Private
Hampshire College	Amherst	31301	Private
Harvard University	Cambridge	14068	Private
Hebrew College	Newton Centre		Private
Hellenic College-Holy Cross Greek Orthodox School of Theology	Brookline	19598	Private
Henris School of Hair Design	Fitchburg	10182	Private
College of the Holy Cross	Worcester	32149	Private
Holyoke Community College	Holyoke	6807	Public
Kay Harvey Academy of Hair Design	West Springfield	12494	Private
La Baron Hairdressing Academy-Brockton	Brockton	16098	Private
La Baron Hairdressing Academy-New Bedford	New Bedford	11487	Private
Lasell College	Newton	25993	Private
Lawrence Memorial Hospital School of Nursing	Medford	28913	Private
Lesley University	Cambridge	32123	Private
Lowell Academy Hairstyling Institute	Lowell	15815	Private
University of Massachusetts-Lowell	Lowell	16798	Public
Mansfield Beauty Schools-Springfield	Springfield	18379	Private
Mansfield Beauty Schools-Quincy	Quincy	18663	Private
Marian Court College	Swampscott	18816	Private
University of Massachusetts-Amherst	Amherst	18819	Public
University of Massachusetts-Boston	Boston	11265	Public
Massachusetts Bay Community College	Wellesley Hills	12347	Public
MCPHS University	Boston	34271	Private
Massachusetts College of Art and Design	Boston	22594	Public
Massachusetts Institute of Technology	Cambridge	23547	Private
Massachusetts Maritime Academy	Buzzards Bay	15785	Public
University of Massachusetts Medical School Worcester	Worcester		Private
William James College	Newton		Private
Massachusetts School of Barbering	Quincy	11855	Private
Massasoit Community College	Brockton	7410	Public
Merrimack College	North Andover	28773	Private
MGH Institute of Health Professions	Boston		Private
Middlesex Community College	Bedford	4611	Public
Montserrat College of Art	Beverly	24652	Private
Mount Holyoke College	South Hadley	27322	Private
Mount Ida College	Newton	26906	Private
Mount Wachusett Community College	Gardner	7920	Public
Cortiva Institute-Boston	Watertown	22346	Private
School of the Museum of Fine Arts-Boston	Boston	37241	Private
Everest Institute-Brighton	Brighton	19742	Private
Rob Roy Academy-New Bedford	New Bedford	15414	Private
The New England Conservatory of Music	Boston	40060	Private
New England College of Optometry	Boston		Private
New England School of Acupuncture	Newton		Private
New England Law-Boston	Boston		Private
New England School of Photography	Boston	42805	Private
Newbury College	Brookline	22661	Private
Nichols College	Dudley	26494	Private
Massachusetts College of Liberal Arts	North Adams	14884	Public
North Bennet Street School	Boston	33187	Private
North Shore Community College	Danvers	8150	Public
The New England Institute of Art	Brookline	28608	Private
Northeastern University	Boston	32715	Private
Northern Essex Community College	Haverhill	8047	Public
College of Our Lady of the Elms	Chicopee	20813	Private
Pine Manor College	Chestnut Hill	16376	Private
Pope St John XXIII National Seminary	Weston		Private
Quincy College	Quincy	12122	Public
Quinsigamond Community College	Worcester	7221	Public
Regis College	Weston	21945	Private
Roxbury Community College	Roxbury Crossing	6611	Public
Saint John's Seminary	Brighton		Private
Salem State University	Salem	15762	Public
Salter College-West Boylston	West Boylston	24504	Private
Simmons College	Boston	27525	Private
Bard College at Simon's Rock	Great Barrington	27946	Private
Smith College	Northampton	27406	Private
Southeastern Technical Institute	South Easton	12181	Public
Springfield College	Springfield	27466	Private
Springfield Technical Community College	Springfield	8754	Public
University of Massachusetts-Dartmouth	North Dartmouth	15919	Public
Stonehill College	Easton	31005	Private
Suffolk University	Boston	27209	Private
Rob Roy Academy-Taunton	Taunton	13967	Private
Tufts University	Medford	28329	Private
Wellesley College	Wellesley	21973	Private
Wentworth Institute of Technology	Boston	31521	Private
Western New England University	Springfield	28213	Private
Westfield State University	Westfield	16861	Public
Wheaton College	Norton	31173	Private
Wheelock College	Boston	25668	Private
Williams College	Williamstown	21762	Private
Worcester Polytechnic Institute	Worcester	35187	Private
Worcester State University	Worcester	16429	Public
Adrian College	Adrian	21486	Private
Albion College	Albion	23195	Private
Hillsdale Beauty College	Hillsdale	11115	Private
Northwestern Technological Institute	Southfield	27088	Private
Alma College	Alma	21824	Private
Alpena Community College	Alpena	3886	Public
Andrews University	Berrien Springs	21789	Private
Aquinas College	Grand Rapids	14293	Private
Baker College of Owosso	Owosso	12472	Private
Baker College	Flint	13042	Private
Bay de Noc Community College	Escanaba	6810	Public
Bayshire Academy of Beauty Craft Inc	Bay City	2447	Private
Cadillac Institute of Cosmetology	Cadillac	11359	Private
Calvin College	Grand Rapids	24352	Private
Calvin Theological Seminary	Grand Rapids		Private
Carnegie Institute	Troy	13274	Private
Michigan School of Professional Psychology	Farmington Hills		Private
Central Michigan University	Mount Pleasant	15558	Public
Mott Community College	Flint	6771	Public
Empire Beauty School-Michigan	Grand Rapids	12138	Private
Cleary University	Howell	8705	Private
Cranbrook Academy of Art	Bloomfield Hills		Private
College for Creative Studies	Detroit	33002	Private
Davenport University	Grand Rapids	16017	Private
David Pressley School of Cosmetology	Royal Oak	15163	Private
Delta College	University Center	4370	Public
Detroit Business Institute-Downriver	Riverview		Private
Michigan State University-College of Law	East Lansing		Private
MIAT College of Technology	Canton	16810	Private
University of Detroit Mercy	Detroit	24101	Private
Dorsey Business Schools-Madison Heights	Madison Heights	23591	Private
Dorsey Business Schools-Southgate	Southgate	24298	Private
Eastern Michigan University	Ypsilanti	12955	Public
Ferris State University	Big Rapids	13230	Public
Flint Institute of Barbering Inc	Flint	5786	Private
Glen Oaks Community College	Centreville	6552	Public
Kettering University	Flint	33861	Private
Gogebic Community College	Ironwood	8061	Public
Grace Bible College	Wyoming	13094	Private
Cornerstone University	Grand Rapids	19570	Private
Everest Institute-Grand Rapids	Grand Rapids	27541	Private
Grand Rapids Community College	Grand Rapids	5031	Public
Grand Valley State University	Allendale	16815	Public
Great Lakes Christian College	Lansing	18515	Private
Henry Ford College	Dearborn	3969	Public
Hope College	Holland	23345	Private
ITT Technical Institute-Wyoming	Wyoming	24737	Private
Jackson College	Jackson	7036	Public
Wright Beauty Academy	Portage	2328	Private
Kalamazoo College	Kalamazoo	23070	Private
Kalamazoo Valley Community College	Kalamazoo	4281	Public
Kellogg Community College	Battle Creek	5186	Public
Kirtland Community College	Roscommon	6087	Public
Michigan College of Beauty-Monroe	Monroe	7920	Private
Lake Michigan College	Benton Harbor	6131	Public
Lake Superior State University	Sault Ste Marie	11558	Public
Lansing Community College	Lansing	6613	Public
Lawrence Technological University	Southfield	26132	Private
M J Murphy Beauty College of Mount Pleasant	Mount Pleasant	3022	Private
Macomb Community College	Warren	7108	Public
Madonna University	Livonia	14440	Private
Marygrove College	Detroit	12800	Private
Rochester College	Rochester Hills	16693	Private
University of Michigan-Ann Arbor	Ann Arbor	15787	Public
Michigan Barber School Inc	Detroit	10437	Private
Michigan State University	East Lansing	16382	Public
Michigan Technological University	Houghton	14336	Public
University of Michigan-Dearborn	Dearborn	12227	Public
University of Michigan-Flint	Flint	14026	Public
Mid Michigan Community College	Harrison	6244	Public
Monroe County Community College	Monroe	4393	Public
Montcalm Community College	Sidney	15754	Public
Mr Bela's School of Cosmetology Inc	Warren	10122	Private
Baker College of Muskegon	Muskegon	13500	Private
Muskegon Community College	Muskegon	4929	Public
Everest College-Skokie	Skokie	27546	Private
Everest Institute-Southfield	Southfield	23762	Private
North Central Michigan College	Petoskey	2210	Public
Northern Michigan University	Marquette	12039	Public
Paul Mitchell the School-Escanaba	Escanaba	15673	Private
Northwestern Michigan College	Traverse City	8295	Public
Northwood University-Michigan	Midland	19859	Private
Oakland Community College	Bloomfield Hills	4032	Public
Oakland University	Rochester Hills	11631	Public
Olivet College	Olivet	19725	Private
Port Huron Cosmetology College	Waterford	11006	Private
Kuyper College	Grand Rapids	18599	Private
Ross Medical Education Center-Lansing	Lansing	18109	Private
Ross Medical Education Center-Madison Heights	Madison Heights	17122	Private
Ross Medical Education Center-Flint	Flint	18193	Private
Sacred Heart Major Seminary	Detroit		Private
Saginaw Valley State University	University Center	14058	Public
Schoolcraft College	Livonia	4650	Public
Siena Heights University	Adrian	17596	Private
St Clair County Community College	Port Huron	5964	Public
Southwestern Michigan College	Dowagiac	8849	Public
Specs Howard School of Media Arts	Southfield		Private
Spring Arbor University	Spring Arbor	17194	Private
Michigan Career and Technical Institute	Plainwell	15462	Public
Finlandia University	Hancock	18301	Private
Western Michigan University-Thomas M. Cooley Law School	Lansing		Private
Twin City Beauty College	Saint Joseph	13529	Private
Walsh College of Accountancy and Business Administration	Troy		Private
Washtenaw Community College	Ann Arbor	6148	Public
Wayne County Community College District	Detroit	5729	Public
Wayne State University	Detroit	12476	Public
West Shore Community College	Scottville	3706	Public
Excel Academies of Cosmetology-Kentwood	Kentwood		Private
Western Michigan University	Kalamazoo	15903	Public
Western Theological Seminary	Holland		Private
Wright Beauty Academy	Battle Creek	8158	Private
Academy College	Bloomington	30982	Private
Alexandria Technical & Community College	Alexandria	14865	Public
American Indian OIC Inc	Minneapolis	6803	Private
Anoka Technical College	Anoka	13961	Public
Anoka-Ramsey Community College	Coon Rapids	12992	Public
Augsburg College	Minneapolis	21755	Private
Riverland Community College	Austin	9758	Public
Northwest Technical College	Bemidji	12091	Public
Bemidji State University	Bemidji	14589	Public
Bethany Lutheran College	Mankato	18364	Private
Bethel University	Saint Paul	25568	Private
Bethel Seminary-St Paul	Saint Paul		Private
Central Lakes College-Brainerd	Brainerd	10780	Public
Carleton College	Northfield	28078	Private
Concordia College at Moorhead	Moorhead	21953	Private
Concordia University-Saint Paul	Saint Paul	17779	Private
Dakota County Technical College	Rosemount	12565	Public
Martin Luther College	New Ulm	16104	Private
Lake Superior College	Duluth	13520	Public
Cosmetology Careers Unlimited College of Hair Skin and Nails	Duluth	11828	Private
Duluth Business University	Duluth	28486	Private
Minnesota State Community and Technical College	Fergus Falls	11684	Public
Globe University-Woodbury	Woodbury	19711	Private
Minnesota West Community and Technical College	Granite Falls	11126	Public
Gustavus Adolphus College	Saint Peter	23017	Private
Hamline University	Saint Paul	20611	Private
Hazelden Betty Ford Graduate School of Addiction Studies	Center City		Private
Hennepin Technical College	Brooklyn Park	13797	Public
Cosmetology Careers Unlimited College of Hair Skin and Nails	Hibbing	12784	Private
Hibbing Community College	Hibbing	10014	Public
Aveda Institute-Minneapolis	Minneapolis	15427	Private
Inver Hills Community College	Inver Grove Heights	11946	Public
Itasca Community College	Grand Rapids	10304	Public
The Art Institutes International-Minnesota	Minneapolis	24691	Private
Luther Seminary	Saint Paul		Private
Macalester College	Saint Paul	25954	Private
South Central College	North Mankato	11757	Public
Minnesota State University-Mankato	Mankato	13898	Public
Regency Beauty Institute-Blaine	Blaine	18064	Private
Mayo Medical School	Rochester		Private
Mayo School of Health Sciences	Rochester		Private
Argosy University-Twin Cities	Eagan	19843	Private
Mesabi Range College	Virginia	7986	Public
Metropolitan State University	Saint Paul	14270	Public
University of Minnesota-Twin Cities	Minneapolis	16954	Public
University of Minnesota-Crookston	Crookston	13216	Public
Minneapolis Business College	Roseville	15824	Private
Minneapolis College of Art and Design	Minneapolis	25649	Private
Minneapolis Community and Technical College	Minneapolis	14188	Public
Herzing University-Minneapolis	Minneapolis	19223	Private
Minnesota School of Cosmetology-Woodbury Campus	WOODBURY	14557	Private
Crossroads College	Rochester	17268	Private
University of Minnesota-Duluth	Duluth	17315	Public
University of Minnesota-Morris	Morris	14326	Public
Minnesota School of Business-Richfield	Richfield	19194	Private
Model College of Hair Design	Saint Cloud	11643	Private
Minnesota State University Moorhead	Moorhead	15183	Public
North Hennepin Community College	Brooklyn Park	16328	Public
National American University-Roseville	Roseville		Private
Sanford-Brown College-Mendota Heights	Mendota Heights	18077	Private
Normandale Community College	Bloomington	14146	Public
North Central University	Minneapolis	19729	Private
Northland Community and Technical College	Thief River Falls	11774	Public
University of Northwestern-St Paul	Saint Paul	23508	Private
Northwestern Health Sciences University	Bloomington	19592	Private
Oak Hills Christian College	Bemidji	16004	Private
Regency Beauty Institute-Burnsville	Burnsville	18903	Private
Pine Technical & Community College	Pine City	13125	Public
Rainy River Community College	International Falls	9552	Public
Rochester Community and Technical College	Rochester	15894	Public
College of Saint Benedict	Saint Joseph	23679	Private
St Cloud Technical and Community College	Saint Cloud	9443	Public
Regency Beauty Institute-St Cloud	Waite Park	20253	Private
Saint Cloud State University	Saint Cloud	14183	Public
Saint Johns University	Collegeville	22450	Private
Saint Mary's University of Minnesota	Winona	19816	Private
St Olaf College	Northfield	24983	Private
Crown College	Saint Bonifacius	21586	Private
The College of Saint Scholastica	Duluth	20215	Private
University of St Thomas	Saint Paul	29465	Private
Empire Beauty School-Bloomington	Bloomington	12236	Private
St Catherine University	Saint Paul	21678	Private
Rasmussen College-Minnesota	St. Cloud	16983	Private
Saint Paul College	Saint Paul	13649	Public
Southwest Minnesota State University	Marshall	14387	Public
Summit Academy Opportunities Industrialization Center	Minneapolis	7723	Private
United Theological Seminary of the Twin Cities	New Brighton		Private
Vermilion Community College	Ely	12072	Public
Dunwoody College of Technology	Minneapolis	27124	Private
Ridgewater College	Willmar	10402	Public
Minnesota State College-Southeast Technical	Winona	15089	Public
Winona State University	Winona	17620	Public
William Mitchell College of Law	Saint Paul		Private
Century College	White Bear Lake	9504	Public
Alcorn State University	Alcorn State	15112	Public
Belhaven University	Jackson	18650	Private
Blue Mountain College	Blue Mountain	9284	Private
Chris Beauty College	Gulfport	13606	Private
Coahoma Community College	Clarksdale	2444	Public
Antonelli College-Jackson	Jackson	21826	Private
Copiah-Lincoln Community College	Wesson	2836	Public
Creations College of Cosmetology	Tupelo	15012	Private
Delta Beauty College	Greenville	5381	Private
Delta State University	Cleveland	15335	Public
East Central Community College	Decatur	5208	Public
East Mississippi Community College	Scooba	3662	Public
Fosters Cosmetology College	Ripley	14285	Private
Academy of Hair Design-Grenada	Grenada	5907	Private
Hinds Community College	Raymond	3524	Public
Holmes Community College	Goodman	5357	Public
Itawamba Community College	Fulton	5707	Public
Jackson State University	Jackson	15432	Public
Jones County Junior College	Ellisville	5408	Public
Meridian Community College	Meridian	6723	Public
Millsaps College	Jackson	21360	Private
Mississippi Delta Community College	Moorhead	3061	Public
University of Mississippi	University	14358	Public
Mississippi University for Women	Columbus	9810	Public
Mississippi Valley State University	Itta Bena	6547	Public
Mississippi College	Clinton	16167	Private
Mississippi College of Beauty Culture	Laurel	8234	Private
Mississippi Gulf Coast Community College	Perkinston	8327	Public
Mississippi State University	Mississippi State	15902	Public
Northeast Mississippi Community College	Booneville	5887	Public
Northwest Mississippi Community College	Senatobia	6244	Public
Pearl River Community College	Poplarville	1563	Public
Rust College	Holly Springs	9763	Private
Southeastern Baptist College	Laurel	5644	Private
Southwest Mississippi Community College	Summit	4423	Public
University of Southern Mississippi	Hattiesburg	12549	Public
Magnolia College of Cosmetology	Jackson	13221	Private
Tougaloo College	Tougaloo	13067	Private
Wesley Biblical Seminary	Jackson		Private
William Carey University	Hattiesburg	16740	Private
Aquinas Institute of Theology	Saint Louis		Private
Assemblies of God Theological Seminary	Springfield		Private
Avila University	Kansas City	19610	Private
ITT Technical Institute-Earth City	Earth City	23478	Private
Baptist Bible College	Springfield	12799	Private
House of Heavilin Beauty College-Blue Springs	Blue Springs	13978	Private
Cox College	Springfield	16546	Private
Calvary Bible College and Theological Seminary	Kansas City	12049	Private
Cape Girardeau Career and Technology Center	Cape Girardeau	16103	Public
Central Christian College of the Bible	Moberly	11559	Private
Central Methodist University-College of Liberal Arts and Sciences	Fayette	17485	Private
University of Central Missouri	Warrensburg	14725	Public
Grand River Technical School	Chillicothe	3816	Public
Chillicothe Beauty Academy Inc	Chillicothe	5837	Private
Cleveland University-Kansas City	Overland Park		Private
Columbia Area Career Center	Columbia	15766	Public
Columbia College	Columbia	11831	Private
Conception Seminary College	Conception	28916	Private
Concordia Seminary	Saint Louis		Private
Cottey College	Nevada	16910	Private
Covenant Theological Seminary	Saint Louis		Private
Crowder College	Neosho	5514	Public
Culver-Stockton College	Canton	17989	Private
Drury University	Springfield	21824	Private
East Central College	Union	6880	Public
Eden Theological Seminary	Webster Groves		Private
Elaine Steven Beauty College	Saint Louis	14355	Private
Pinnacle Career Institute-South Kansas City	Kansas City	21127	Private
Evangel University	Springfield	21336	Private
Fontbonne University	Saint Louis	16717	Private
Forest Institute of Professional Psychology	Springfield		Private
Four Rivers Career Center	Washington	17364	Public
Ozarks Technical Community College	Springfield	7096	Public
Hannibal-LaGrange University	Hannibal	16509	Private
Harris-Stowe State University	Saint Louis	9064	Public
Hickey College	Saint Louis	17023	Private
House of Heavilin Beauty College-Kansas City	Kansas City	16744	Private
Independence College of Cosmetology	Independence	13055	Private
Jefferson College	Hillsboro	6363	Public
Paul Mitchell the School-Missouri Columbia	Columbia	9795	Private
Barnes-Jewish College Goldfarb School of Nursing	Saint Louis		Private
Kansas City Art Institute	Kansas City	27967	Private
Kenrick Glennon Seminary	Saint Louis	26350	Private
A T Still University of Health Sciences	Kirksville		Private
Lake Career and Technical Center	Camdenton	2402	Public
Lex La-Ray Technical Center	Lexington	12211	Public
Lincoln University	Jefferson City	10043	Public
Lindenwood University	Saint Charles	21985	Private
State Technical College of Missouri	Linn	9141	Public
Logan University	Chesterfield		Private
Metropolitan Community College-Kansas City	Kansas City	7954	Public
Lutheran School of Nursing	Saint Louis	24585	Private
Maryville University of Saint Louis	Saint Louis	23025	Private
Merrell University of Beauty Arts and Science	Jefferson City	14730	Private
Metro Business College-Cape Girardeau	Cape Girardeau	11654	Private
Midwest Institute	Fenton	19098	Private
Midwestern Baptist Theological Seminary	Kansas City	15338	Private
Mineral Area College	Park Hills	8801	Public
Westwood College-O'Hare Airport	Chicago	25762	Private
Missouri Baptist University	Saint Louis	17249	Private
National Academy of Beauty Arts-Farmington	Farmington	9190	Private
Missouri College	Brentwood	18732	Private
Missouri School of Barbering & Hairstyling-St. Louis	Florissant	9396	Private
Missouri Southern State University	Joplin	8314	Public
Missouri Tech	Saint Charles	23900	Private
Missouri Valley College	Marshall	16016	Private
Missouri Western State University	Saint Joseph	10367	Public
University of Missouri-Columbia	Columbia	17238	Public
University of Missouri-Kansas City	Kansas City	18802	Public
Missouri University of Science and Technology	Rolla	14874	Public
University of Missouri-St Louis	Saint Louis	12318	Public
Moberly Area Community College	Moberly	7661	Public
Hillyard Technical Center	Saint Joseph	15155	Public
National Academy of Beauty Arts-St Louis	Saint Louis	11055	Private
Nazarene Theological Seminary	Kansas City		Private
Neosho Beauty College	Neosho	8138	Private
Truman State University	Kirksville	12148	Public
Northwest Missouri State University	Maryville	10570	Public
Ozark Christian College	Joplin	13472	Private
College of the Ozarks	Point Lookout	10720	Private
Park University	Parkville	9723	Private
Stevens-The Institute of Business & Arts	Saint Louis	19970	Private
Poplar Bluff Technical Career Center	Poplar Bluff	17620	Public
Ranken Technical College	Saint Louis	17399	Private
Research College of Nursing	Kansas City		Private
Rockhurst University	Kansas City	19560	Private
Rolla Technical Institute/Center	Rolla	11310	Public
Everest College-Springfield	Springfield	20865	Private
Saint Louis University	Saint Louis	30543	Private
Salem College of Hairstyling	Rolla	4494	Private
Sanford-Brown College-Fenton	Fenton		Private
American College of Hair Design Inc	Sedalia	11797	Private
Sikeston Career and Technology Center	Sikeston	12604	Public
Saint Louis Christian College	Florissant	12434	Private
St Louis College of Pharmacy	Saint Louis		Private
Saint Louis Community College	Saint Louis	7112	Public
Saint Paul School of Theology	Leawood		Private
Southwest Baptist University	Bolivar	16739	Private
Missouri State University-West Plains	West Plains	11962	Public
Saint Luke's College of Health Sciences	Kansas City		Private
St Louis College of Health Careers-St Louis	Saint Louis	25021	Private
State Fair Community College	Sedalia	6662	Public
Stephens College	Columbia	23211	Private
Southeast Missouri State University	Cape Girardeau	12050	Public
Missouri State University-Springfield	Springfield	14866	Public
Three Rivers Community College	Poplar Bluff	8036	Public
North Central Missouri College	Trenton	7055	Public
Truman Medical Center School of Nurse Anesthesia	Kansas City		Private
Kansas City University of Medicine and Biosciences	Kansas City		Private
Washington University in St Louis	Saint Louis	31281	Private
Webster University	Saint Louis	20708	Private
Wentworth Military Academy and College	Lexington	17306	Private
Westminster College	Fulton	20280	Private
William Jewell College	Liberty	21094	Private
William Woods University	Fulton	21058	Private
Academy of Cosmetology	Bozeman	8964	Private
Blackfeet Community College	Browning	10999	Private
Butte Academy of Beauty Culture	Butte	10034	Private
Highlands College of Montana Tech	Butte	9177	Public
Crevier's Academy of Cosmetology Arts	Kalispell	5038	Private
Carroll College	Helena	24020	Private
Dawson Community College	Glendive	3620	Public
Chief Dull Knife College	Lame Deer	3148	Public
Montana State University-Billings	Billings	13054	Public
Flathead Valley Community College	Kalispell	7965	Public
Aaniiih Nakoda College	Harlem	9002	Public
Fort Peck Community College	Poplar	3793	Public
Great Falls College Montana State University	Great Falls	9676	Public
University of Great Falls	Great Falls	19726	Private
Helena College University of Montana	Helena	10844	Public
Little Big Horn College	Crow Agency	8274	Public
Miles Community College	Miles City	6517	Public
Modern Beauty School Inc	Missoula	7544	Private
Montana Tech of the University of Montana	Butte	11826	Public
Montana State University	Bozeman	16600	Public
The University of Montana	Missoula	12863	Public
Montana State University-Northern	Havre	13636	Public
Rocky Mountain College	Billings	17905	Private
Salish Kootenai College	Pablo	10564	Private
The University of Montana-Western	Dillon	9474	Public
La'James International College	Fremont	13434	Private
Bellevue University	Bellevue	13066	Private
Clarkson College	Omaha	20554	Private
Bryan College of Health Sciences	Lincoln	21429	Private
Central Community College	Grand Island	7162	Public
Chadron State College	Chadron	11060	Public
College of Hair Design-Downtown	Lincoln	7590	Private
Concordia University-Nebraska	Seward	18557	Private
Creighton University	Omaha	27854	Private
Doane University-Arts & Sciences	Crete	21869	Private
Grace University	Omaha	13803	Private
Hastings College	Hastings	18805	Private
